Name,Palette,Threadcount,Origin URL
Akintiev (2014),B#2C2C80 BLUE; W#FFFFFF WHITE; K#101010 BLACK; N#808080 GREY; R#DC0000 RED;,B/44 W10 K18 B40 N28 K18 N22 R/2,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=11136
Al-Fadhli (Personal),B#2C4084 BLUE; MG#003C14 GREEN; K#101010 BLACK; W#E0E0E0 WHITE; R#DC0000 RED;,B6 MG6 B48 K68 W2 K68 B48 R6 B6 W6,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5830
Al-Maktoum,DR#880000 DARK RED; G#006818 GREEN; DW#B8B8B8 OFF WHITE; R#C80000 RED; WW#FCFCFC WILSON WHITE;,R/10 G24 R10 G24 R64 WW/22,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=62
Alabama (Provisional),W#E0E0E0 WHITE; B#2C2C80 BLUE; NB#003C64 NAVY BLUE; N#888888 GRAY; A#5C8CA8 AZURE; RR#901C38 MARROON; DCR#A00048 CRIMSON; LRB#1474B4 BALMORAL BLUE; R#C80000 RED;,W/6 LRB4 W4 LRB4 W2 LRB50 NB8 N8 A2 N2 A2 N8 NB8 RR2 NB2 RR6 NB2 RR2 NB8 W2 NB4 W6 R/10,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=35
"Alabama, University of",W#FFFFFF WHITE; R#990000 CRIMSON; K#101010 BLACK; N#EEEEEE GREY;,R/64 K4 N6 W8 N6 K4 R44 K2 R10 K4 W12 K4 R8 W/10,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10402
Alan Stone Family (Personal),B#27408B ROYAL BLUE; K#101010 BLACK; N#8C8C8C MEDIUM GREY; R#B0171F SCARLET RED; Y#CDAD00 GOLDEN YELLOW; W#FFFFFF WHITE;,R/4 W12 K24 B72 N24 Y/2,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10133
Alasdair Dhana,BN#14283C BLUE GREY; R#C80000 RED; DG#003820 DARK GREEN; DY#E8C000 GOLD; K#101010 BLACK; B#2C2C80 BLUE; DR#880000 DARK RED; S#C8002C SCARLET;,DG/6 BN40 DG32 DR4 DG4 DR6 DG6 DR10 DG32 BN40 DY2 K/4,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=36
Alaskan Scottish,R#DD1212 BRIGHT SCARLET; G#052F14 BOTTLE GREEN; Y#D3CC20 YELLOW; W#F7F1E8 WHITE; B#3C82AF BLUE;,W/8 B2 G8 B2 G2 B2 G2 B18 R18 B2 Y8 B2 R18 B18 G18 B2 W/8,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10851
Alberta,B#2C4084 BLUE; G#005020 MOD GREEN; K#101010 BLACK; T#503C14 BROWN;,B16 G8 K8 B1 K1 B1 K1 B1 K1 B1 K1 B1 K1 B1 K1 B20 K4 G12 K24 T8 B1 T1 B1 T1 B1 T1 B1 T1 B1 T1 B1 T1 B28 T6 K4 G50,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=38
Alberta (Province),K#101010 BLACK; CLR#E87878 CORAL; FSB#2474E8 FS BLUE; G#006818 GREEN; YT#D8B000 TAN YELLOW;,YT/32 K8 FSB16 K8 CLR8 K8 G/104,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=39
Alberta Dress,K#101010 BLACK; DR#880000 DARK RED; G#006818 GREEN; LN#C0C0C0 LIGHT GRAY; MY#D09800 M YELLOW; RB#1C0070 ROYAL BLUE; FSB#2474E8 FS BLUE; WW#F8F8F8 WILSON WHITE; BB#2C40A0 OLD BLUE;,WW/8 G6 WW38 G16 K2 DR8 K2 BB36 K2 MY/4,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=40
"Alberta, Quebec, Nova Scotia.",B#2C4084 BLUE; G#005020 MOD GREEN; K#101010 BLACK; W#E0E0E0 WHITE;,B8 G20 K4 B4 W28 K4 G4 K4 G4 K4 G4 K4 G4 K4 B50 W16 G8 K8 B6 K2 B6 K2,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=42
"Albuquerque, City of",R#C80000 RED; G#006818 GREEN; B#2C2C80 BLUE; WW#F8F8F8 WILSON WHITE;,R/4 G24 B4 G16 B36 WW6 R4 WW/4,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=43
Alegre-Wood (Personal),Y#E8C000 YELLOW; AB#1870A4 ANC BLUE; GO#BC8C00 DARK GOLD; DR#880000 DARK RED; T#604000 BROWN; O#D87C00 ORANGE; LT#B45844 LIGHT BROWN;,AB/4 GO4 T2 GO2 T24 DR12 O4 DR/160,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5695
Alexander (brothers),DR#8C0000 DARK RED; DN#646C64 DARK GREY; K#000000 BLACK; DW#B0B0B0 SOFT WHITE;,DR/30 DN40 DW12 K8 DN20 DW44 K56 DN12 DR12 DW44 DN12 DR4 DW24 K4 DW6 DN/20,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5029
Alexander of Menstry,LN#A0A0A0 LIGHT GRAY; LB#2888C4 LIGHT BLUE; WW#F8F8F8 WILSON WHITE; N#888888 GRAY; K#101010 BLACK; MP#9C68A4 MAUVE; G#006818 GREEN; B#2C2C80 BLUE;,G/10 MP4 G4 MP18 K18 LN18 B60 WW/10,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=47
Alexander of Menstry Dress,B#2C2C80 BLUE; WW#F8F8F8 WILSON WHITE; LN#A0A0A0 LIGHT GRAY; K#101010 BLACK; P#780078 PURPLE; G#006818 GREEN;,G/10 P4 G4 P18 K18 LN18 WW60 B/10,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=48
Alexander of Menstry Hunting,A#5C8CA8 AZURE; LP#B468AC MAUVE; CLR#E87878 CORAL; WW#F8F8F8 WILSON WHITE; B#2C2C80 BLUE; LN#A0A0A0 LIGHT GRAY; N#888888 GRAY; K#101010 BLACK; G#006818 GREEN; P#780078 PURPLE; WG#408060 WTHRD GREEN; LSB#98C8E8 LIGHT SKY;,LP/10 WG4 LP4 WG52 K18 LN18 LSB26 WW/10,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=49
Algarve,B#2C2C80 BLUE; HG#285800 HUNTING GREEN; R#C80000 RED; W#E0E0E0 WHITE;,B/20 W20 R20 HG/20,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=50
Alison / Allison,B#2C4084 BLUE; K#101010 BLACK; G#005020 MOD GREEN; Y#E8C000 YELLOW; A#3C82AF BLUE; R#DC0000 RED; W#E0E0E0 WHITE;,B/6 K6 B24 K36 G28 K4 G28 K16 Y4 K16 A8 R8 K4 W/6,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=51
"Alister Grant 'Mohr', the Laird's Champion",K#101010 BLACK; R#B13E0F RED; G#777733 GREEN; LG#BDBD65 LIGHT GREEN;,G/60 K8 LG20 K8 R10 LG10 R/30,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=1498
All Breeds Dairy Goats,RB#000064 NAVY; R#DC0000 RED; K#101010 BLACK; LT#BE7832 BROWN; W#E0E0E0 WHITE; EG#00C814 GREEN; LY#FADC00 YELLOW;,RB/10 R10 K36 LT1 W1 LT1 W1 LT1 W1 LT1 W1 LT1 W1 LT1 K1 LT1 K1 LT1 K1 LT1 K1 LT1 K1 W1 LT1 W1 LT1 W1 LT1 W1 LT1 W1 LT27 W26 EG10 LY/10,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5880
All Ireland Blue,B#2C2C80 BLUE; DB#202060 DARK BLUE; GO#E8C000 GOLD; G#006818 GREEN; LB#2888C4 LIGHT BLUE; LG#289C18 LIGHT GREEN; LSB#98C8E8 LIGHT SKY; AA#506494 ANC AZURE; GN#406054 GREEN GREY; WG#408060 WTHRD GREEN; GO#BC8C00 DARK GOLD;,AA/12 LSB4 B4 AA60 WG4 AA4 GO4 LG8 GO4 WG4 GO2 WG36 GO2 LSB4 B4 GO/8,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=52
All Ireland Green,DG#003820 DARK GREEN; DR#880000 DARK RED; G#006818 GREEN; LG#289C18 LIGHT GREEN; N#C9C9C9 LIGHT GREY;,G/12 LG4 DR4 G60 N4 LG8 N4 DG4 N2 DG40 N2 LG4 DR/8,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=53
All Ireland Red,B#2C2C80 BLUE; DB#202060 DARK BLUE; G#006818 GREEN; LG#289C18 LIGHT GREEN; R#C80000 RED; LSB#98C8E8 LIGHT SKY; AA#789484 ANC AZURE; OG#5C6428 OLIVE GREEN;,R/12 AA4 DB4 R60 G4 R4 LG8 R4 G4 R2 G40 R2 AA4 DB4 R/8,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=54
All as One,R#C80000 RED; G#006818 GREEN; LB#2888C4 LIGHT BLUE; K#101010 BLACK;,K/22 LB76 R22 G22 K/10,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5350
All breeds Dairy Goats (Version 2),B#2C4084 BLUE; R#DC0000 RED; K#101010 BLACK; W#E0E0E0 WHITE; LT#BE7832 BROWN; EG#00C814 GREEN; Y#E8C000 YELLOW;,B/10 R10 K16 W4 K16 W1 LT1 W1 LT1 W1 LT1 W1 LT1 W1 LT1 K1 LT1 K1 LT1 K1 LT1 K1 W1 LT1 W1 LT1 W1 LT1 W1 LT1 W1 LT22 W24 EG10 Y/10,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5943
Allanton,W#E0E0E0 WHITE; B#2C2C80 BLUE; Y#E8C000 YELLOW; G#006818 GREEN; A#5C8CA8 AZURE;,A/8 G32 Y4 B14 A56 W/8,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5397
Allanton Dress,A#5C8CA8 AZURE; B#2C2C80 BLUE; G#006818 GREEN; W#E0E0E0 WHITE; Y#E8C000 YELLOW;,G/8 A34 Y4 B28 W56 G/8,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4830
Allen (1996),K#101010 BLACK; CW#FCFCFC CLEAR; DR#880000 DARK RED; G#006818 GREEN; RB#1C0070 ROYAL BLUE;,G/32 CW4 G4 DR4 G16 K16 RB32 K4 RB4 K/4,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=55
Allen (1998),K#101010 BLACK; B#304C78 BLUE; DY#E8C000 GOLD; G#006818 GREEN; R#C80000 RED;,G/4 R4 G24 K8 B22 R4 B22 K8 B4 K18 B4 K18 B4 K8 B22 DY4 B22 K8 G24 R4 G/4,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=56
Allen - Northumbrian Hunting (Personal),DT#603311 UMBER BROWN; DR#6F1D1F SCARLET; DN#2F4F4F CHARCOAL GREY; LB#65787F PEWTER BLUE; DY#9F7136 MUTED YELLOW;,DT/32 DR4 DT6 DR8 DT4 DN24 T36 LB4 T36 DN24 DT24 DY4 DR4 DY/4,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10573
Allen Hunting (?Thomson),AY#DC943C ANC YELLOW; B#2C2C80 BLUE; T#604000 BROWN; LB#2888C4 LIGHT BLUE; R#C80000 RED;,LB/88 R4 AY16 LB16 AY4 LB4 AY4 LB4 AY4 LB4 AY4 LB4 AY4 LB4 AY4 LB4 AY4 LB4 AY4 LB4 AY4 LB4 AY36 T96 B/8,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=57
Alliance of Border Scots,K#000000 BLACK; OT#64340C EARTH BROWN; LN#ACACAC SOFT WHITE; HG#184800 HUNTING GREEN; GO#9C8000 YELLOWTAN; G#006818 GREEN; WW#F8F8F8 WILSON WHITE; W#E0E0E0 WHITE;,G/8 K48 W8 OT8 W8 OT8 W8 OT8 W8 OT8 W8 OT8 W8 K48 GO8 K48 W8 OT8 W8 OT8 W8 OT8 W8 OT8 W8 OT8 W8 K48 G/8,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5079
Allison (1882),DB#080848 BLUE; Y#E8C000 YELLOW; G#005020 MOD GREEN; K#101010 BLACK; W#E0E0E0 WHITE; B#2C4084 BLUE; R#DC0000 RED;,DB/64 Y3 G12 K3 G12 W3 DB15 B4 R21 DB3 Y/2,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=60
Allison (MacBean and Bishop),B#2C4084 BLUE; K#101010 BLACK; G#005020 MOD GREEN; Y#E8C000 YELLOW; A#3C82AF BLUE; R#DC0000 RED; W#E0E0E0 WHITE;,B/6 K4 B24 K36 G28 K4 G28 K16 Y4 K16 A8 R8 K4 W/6,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=59
Allison (MacGregor-Hastie),K#101010 BLACK; DY#E8C000 GOLD; G#006818 GREEN; LB#2888C4 LIGHT BLUE; LR#D05054 ROSE; RB#1C0070 ROYAL BLUE; W#E0E0E0 WHITE; BB#3850C8 OLD BLUE; B#2C2C80 BLUE;,B/4 K4 B32 K30 DY4 G32 K4 G32 W4 K34 RB8 LR12 K6 DY/4,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=58
Allt Dubh (Black Burn),K#101010 BLACK; RR#901C38 MARROON; OG#5C6428 OLIVE GREEN;,K/198 RR10 K8 RR6 K4 OG/2,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=61
Alyssa's Theme,K#000000 BLACK; R#800300 MAROON; N#7D7D7D GREY; B#38558F TORY BLUE;,B/4 K26 B16 K4 R2 N2 R42 K2 R2 N4 K16 R26 K/4,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10656
Amarillo,K#101010 BLACK; GO#BC8C00 DARK GOLD; G#006818 GREEN; NB#003C64 NAVY BLUE; ZR#A00000 RUST; WG#408060 WTHRD GREEN;,NB/72 K8 WG8 NB36 K16 G36 ZR16 NB36 WG8 K8 GO/4,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5262
Amazing Union (Personal),GO#A47800 DARK GOLD; DB#101034 DARK BLUE; DG#003820 DARK GREEN; NB#003C64 NAVY BLUE; WMR#A80020 WILSONS MADDER; DT#441800 DARK BROWN;,WMR/8 DT60 DG48 DT8 DB48 DT8 DG48 DT60 GO/8,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=64
America (Eagle version),B#2C2C80 BLUE; R#C80000 RED; W#E0E0E0 WHITE;,B10 R4 B10 W14 B64 W14 R26 B6 R26 W4,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=65
American,BB#000088 BALMORAL; R#A00000 XR; WW#C8C8C8 WHITE;,BB/8 R84 BB4 WW16 BB28 WW8 BB8 WW8 R/8,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=66
American Bi-Centennial,A#5C8CA8 AZURE; K#101010 BLACK; B#2C2C80 BLUE; R#C80000 RED; W#E0E0E0 WHITE;,B/28 A4 W4 A4 B40 K40 R34 W8 R6 W6 R6 W6 R/10,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=67
American Express,RB#000064 NAVY; G#007800 GREEN; DR#8C0000 RED; LN#C8C8C8 WHITE; FSB#3474FC LIGHT BLUE;,RB/8 FSB36 DR4 RB20 G20 LN/8,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=68
American National,K#101010 BLACK; WW#F8F8F8 WILSON WHITE; R#C80000 RED; B#2C2C80 BLUE; HG#285800 HUNTING GREEN; BN#14283C BLUE GREY;,K/6 R6 HG8 B14 K6 BN78 B30 WW/6,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=70
"American Society of Travel Agents, The",N#888888 GREY; R#C80000 RED; B#2C2C80 BLUE; G#006818 GREEN; W#E0E0E0 WHITE;,B/4 N20 B2 N2 B20 R2 B20 G20 W/4,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=71
"American Society of Travel Agents, The (2001)",MB#141E46 BLUE; N#808080 MISSING COLOUR; LLC#FA6496 RED; MG#003C14 GREEN; W#E0E0E0 WHITE;,MB/4 N32 MB4 N4 MB32 LLC6 MB32 MG4 MB3 MG32 W/4,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5983
American St Andrews Societies,K#101010 BLACK; DR#880000 DARK RED; BB#3850C8 OLD BLUE; SB#A8ACE8 SKY BLUE; W#E0E0E0 WHITE; LRB#1474B4 BALMORAL BLUE; B#2C2C80 BLUE; R#C80000 RED;,B/30 SB4 W16 SB4 B84 K84 R84 W16 R8 W8 R8 W8 R/20,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5167
Amnesty,XR#C80000 RED; K#101010 BLACK; DB#242468 BLUE; T#604000 BROWN; YT#E8A800 GOLD; G#005010 GREEN; W#E0E0E0 WHITE; CC#EC34C4 ALAZARIN; GO#BC8C00 DARK GOLD; DO#B84C00 DARK ORANGE;,DB42 K5 DB42 DO32 G42 GO5 G42 DO32 DB42 W5 DB42 DO32 G42 T5 G42 DO32,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5422
Ancient Atlantic,K#101010 BLACK; DT#441800 DARK BROWN; LN#C0C0C0 LIGHT GRAY; MY#D09800 M YELLOW; RB#1C0070 ROYAL BLUE; WW#FCFCFC WILSON WHITE; DY#E8C000 GOLD; T#604000 BROWN; B#2C2C80 BLUE; Y#E8C000 YELLOW;,WW/4 B24 T20 K4 B24 Y/4,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5228
